12:19:34:847 -> Servo_pos:1
12:19:34:850 -> Direction:0
12:19:34:850 -> Servo_pos:1
12:19:34:852 -> Direction:0
12:19:34:852 -> Servo_pos:1
12:19:34:852 -> Direction:0
12:19:34:855 -> Servo_pos:1
12:19:34:855 -> Direction:0
12:19:34:857 -> Servo_pos:1
12:19:34:857 -> Direction:0
12:19:34:857 -> Servo_pos:1
12:19:34:860 -> Direction:0
12:19:34:860 -> Servo_pos:1
12:19:34:873 -> Direction:0
12:19:34:873 -> Servo_pos:1
12:19:34:873 -> Direction:0
12:19:34:873 -> Servo_pos:1
12:19:34:873 -> Direction:0
12:19:34:873 -> Servo_pos:1
12:19:34:873 -> Direction:0
12:19:34:873 -> Servo_pos:1
12:19:34:936 -> Direction:0
12:19:34:936 -> Servo_pos:1
12:19:34:936 -> Direction:0
12:19:34:936 -> Servo_pos:1
12:19:34:936 -> Direction:0
12:19:34:941 -> Servo_pos:1
12:19:34:941 -> Direction:0
12:19:34:942 -> Servo_pos:1
12:19:34:942 -> Direction:0
12:19:34:942 -> Servo_pos:1
12:19:34:946 -> Direction:0
12:19:34:949 -> Servo_pos:1
12:19:34:949 -> Direction:0
12:19:34:949 -> Servo_pos:1
12:19:34:970 -> Direction:0
12:19:34:970 -> Servo_pos:1
12:19:34:971 -> Direction:0
12:19:34:971 -> Servo_pos:1
12:19:34:971 -> Direction:0
12:19:34:971 -> Servo_pos:1
12:19:34:971 -> Direction:0
12:19:34:971 -> Servo_pos:1
12:19:34:971 -> Direction:0
12:19:34:971 -> Servo_pos:1
12:19:34:971 -> Direction:0
12:19:34:971 -> Servo_pos:1
12:19:34:971 -> Direction:0
12:19:34:971 -> Servo_pos:1
12:19:34:971 -> Direction:0
12:19:34:971 -> Servo_pos:1
12:19:34:971 -> Direction:0
12:19:35:029 -> Servo_pos:1
12:19:35:029 -> Direction:0
12:19:35:029 -> Servo_pos:1
12:19:35:031 -> Direction:0
12:19:35:031 -> Servo_pos:1
12:19:35:104 -> Direction:0
12:19:35:104 -> Servo_pos:1
12:19:35:104 -> Direction:0
12:19:35:106 -> Servo_pos:1
